name	mealtype	ingredients	instructions	nutrients	servings	time
Apple Pie	Dessert	Apples 500g, Flour 200g, Sugar 100g, Butter 100g, Cinnamon 10g, Nutmeg 5g, Lemon Juice 10g	Preheat oven. Mix sliced apples with sugar, cinnamon, nutmeg, and lemon juice. Prepare crust with flour and butter. Fill crust with apple mixture. Bake for 45 minutes.	700 5 30 120	8	60 min
Avocado Toast	Breakfast	Bread 100g, Avocado 150g, Lemon Juice 10g, Salt 5g, Black Pepper 5g, Olive Oil 10g	Toast bread. Mash avocado with lemon juice, salt, and pepper. Spread on toast, drizzle with olive oil.	300 5 20 30	2	10 min
Baked Ziti	Dinner	Ziti Pasta 200g, Marinara Sauce 300g, Ricotta Cheese 100g, Mozzarella Cheese 100g, Parmesan Cheese 50g, Basil 10g	Cook ziti. Mix with marinara and ricotta. Layer in a baking dish with mozzarella and Parmesan. Bake at 180°C for 30 minutes.	700 30 35 90	4	45 min
Banana Bread	Breakfast	Flour 200g, Sugar 100g, Bananas 200g, Eggs 2, Butter 100g, Baking Soda 5g, Vanilla Extract 5g	Preheat oven. Mix flour, sugar, and baking soda. Mash bananas and mix with eggs, melted butter, and vanilla. Combine all ingredients and bake for 60 minutes.	450 6 20 70	8	75 min
Banana Pancakes	Breakfast	Bananas 200g, Eggs 2, Oats 100g, Baking Powder 5g, Cinnamon 5g, Butter 20g	Blend all ingredients except butter. Cook in butter until golden brown.	400 10 15 60	2	15 min
BBQ Chicken Wings	Dinner	Chicken Wings 500g, BBQ Sauce 100g, Garlic Powder 10g, Onion Powder 10g, Paprika 10g, Olive Oil 20g	Toss wings with oil and spices. Bake at 200°C for 30 minutes, basting with BBQ sauce.	700 45 40 30	4	40 min
BBQ Pulled Pork Sandwich	Lunch	Pork Shoulder 500g, BBQ Sauce 200g, Buns 200g, Coleslaw 100g, Onion 50g, Olive Oil 20g	Cook pork with onion in oil until tender, shred. Mix with BBQ sauce. Serve on buns with coleslaw.	700 40 35 60	4	480 min
BBQ Ribs	Dinner	Pork Ribs 500g, BBQ Sauce 200g, Brown Sugar 50g, Garlic Powder 10g, Onion Powder 10g, Paprika 10g	Preheat oven. Rub ribs with spices and sugar. Bake for 2 hours, basting with BBQ sauce.	1200 80 90 50	4	150 min
Beef and Broccoli Stir Fry	Dinner	Beef 200g, Broccoli 200g, Soy Sauce 30g, Garlic 10g, Ginger 10g, Olive Oil 20g	Cook beef in oil, add garlic and ginger. Add broccoli and soy sauce, cook until tender.	450 30 20 20	4	20 min
Beef Stroganoff	Dinner	Beef 300g, Mushrooms 100g, Onion 50g, Sour Cream 100g, Butter 50g, Flour 20g, Beef Broth 200ml	Cook beef in butter until browned. Add onions and mushrooms, cook until soft. Stir in flour, then broth, then sour cream. Simmer until thickened.	800 50 50 30	4	40 min
Beef Tacos	Lunch	Ground Beef 200g, Taco Shells 100g, Lettuce 50g, Cheddar Cheese 50g, Salsa 50g, Sour Cream 30g	Cook beef until browned. Warm taco shells. Fill shells with beef, lettuce, cheese, salsa, and sour cream.	700 25 40 50	4	20 min
Beet Salad	Lunch	Beets 200g, Goat Cheese 50g, Walnuts 50g, Arugula 100g, Balsamic Vinaigrette 20g	Cook and slice beets. Toss with arugula, crumbled goat cheese, walnuts, and vinaigrette.	250 10 15 30	4	15 min
Berry Smoothie	Breakfast	Mixed Berries 200g, Banana 100g, Greek Yogurt 100g, Honey 10g, Milk 200ml	Blend all ingredients until smooth.	300 10 5 60	2	10 min
BLT Sandwich	Lunch	Bread 100g, Bacon 100g, Lettuce 50g, Tomato 50g, Mayonnaise 20g	Cook bacon until crisp. Spread mayonnaise on bread. Layer bacon, lettuce, and tomato. Top with another slice of bread.	600 20 40 40	2	15 min
Blueberry Muffins	Breakfast	Flour 200g, Sugar 100g, Blueberries 100g, Milk 100ml, Eggs 2, Baking Powder 10g, Butter 50g	Preheat oven. Mix flour, sugar, and baking powder. Beat eggs and milk, add to dry ingredients. Fold in blueberries. Bake for 20 minutes.	450 7 20 60	6	30 min
Butternut Squash Soup	Dinner	Butternut Squash 500g, Onion 50g, Garlic 10g, Vegetable Broth 500ml, Cream 100ml, Olive Oil 20g	Cook onion and garlic in oil. Add squash and broth, simmer until tender. Blend until smooth, stir in cream.	300 10 15 50	4	30 min
Byrek	Lunch	Phyllo Dough 500g, Feta Cheese 200g, Spinach 300g, Olive Oil 50g, Yogurt 100g	Layer phyllo with spinach, feta, and oil. Bake until golden. Serve with yogurt.	600 25 30 50	6	60 min
Caesar Salad	Lunch	Romaine Lettuce 200g, Chicken Breast 200g, Parmesan Cheese 50g, Croutons 50g, Caesar Dressing 50g	Grill chicken until cooked, slice. Toss lettuce with dressing, top with chicken, croutons, and Parmesan.	500 35 25 20	2	20 min
Caprese Salad	Lunch	Tomatoes 200g, Mozzarella 100g, Basil 20g, Olive Oil 20g, Balsamic Vinegar 10g, Salt 5g	Slice tomatoes and mozzarella. Arrange with basil on a plate. Drizzle with olive oil and vinegar, sprinkle with salt.	300 15 20 10	2	10 min
Caprese Skewers	Snack	Cherry Tomatoes 200g, Mozzarella Balls 100g, Basil 20g, Olive Oil 20g, Balsamic Glaze 10g	Skewer tomatoes, mozzarella, and basil. Drizzle with olive oil and balsamic glaze.	150 5 10 20	4	10 min
Cheese Omelette	Breakfast	Eggs 3, Cheddar Cheese 50g, Milk 20ml, Butter 20g, Salt 5g, Black Pepper 5g	Beat eggs with milk, salt, and pepper. Cook in butter, add cheese and fold omelette.	300 20 25 10	1	10 min
Chicken Alfredo	Dinner	Fettuccine 200g, Chicken Breast 200g, Heavy Cream 100ml, Parmesan Cheese 50g, Butter 50g, Garlic 10g	Cook fettuccine. Sauté chicken until done. Melt butter, add garlic, cream, and Parmesan. Combine with pasta and chicken.	800 35 50 60	4	30 min
Chicken Caesar Salad	Lunch	Chicken Breast 200g, Romaine Lettuce 200g, Caesar Dressing 50g, Parmesan Cheese 50g, Croutons 50g	Grill chicken and slice. Toss lettuce with dressing, Parmesan, and croutons. Top with chicken.	400 30 15 50	2	20 min
Chicken Caesar Wrap	Lunch	Chicken Breast 200g, Romaine Lettuce 100g, Caesar Dressing 50g, Parmesan Cheese 20g, Tortilla 100g	Grill chicken and slice. Mix with lettuce, dressing, and Parmesan. Wrap in tortilla.	450 35 15 35	2	15 min
Chicken Curry	Dinner	Chicken Breast 200g, Coconut Milk 200ml, Curry Powder 20g, Onion 50g, Garlic 10g, Olive Oil 20g	Heat oil. Add chopped onions and garlic. Add chicken and cook until browned. Add curry powder and coconut milk. Simmer for 20 minutes.	600 30 25 50	2	35 min
